Index,Chapter,Thought,D: Original,D: Refashioned,D: Elegant,D: Summary,D: Distilled,Notes
1.1,Introduction,1,"""The liberal arts are those subjects or skills that in classical antiquity were considered essential for a free person (liberalis, 'worthy of a free person') to know in order to take an active part in civic life, something that (for ancient Greece) included participating in public debate, defending oneself in court, serving on juries, and most importantly, military service."" — Ernst Robert Curtius, European Literature and the Latin Middle Ages",,"The liberal arts were never ornamental. They were the skills a free person needed to govern — to argue, to judge, to defend, to serve.",,,Ernst Robert Curtius (1886–1956) — German literary scholar. European Literature and the Latin Middle Ages (1948) traces the continuity of classical rhetorical and literary traditions through medieval culture.
1.2,Introduction,2,"The primary tool of those arts was — should still be — civil discourse. But what exactly do we mean by the term?",,"The primary tool of the free citizen was discourse. It still should be — if we can remember what the word means.",,,
2.1,Defining: Discourse,1,"Discourse derives from the Latin discursus, itself from discurrere — dis- (""apart, in different directions"") and currere (""to run""). In classical Latin, discursus was physical: the action of running to and fro, scattering in different directions. [1]",,"Discourse begins in motion. The Latin discurrere: to run apart, to scatter in different directions. Before it was a word for speech, it was a word for movement.",,,
2.2,Defining: Discourse,2,"In Late Latin, roughly the third through fifth centuries, the meaning shifted from physical movement to verbal exchange — the running about of words between people. This is where discourse first becomes a communicative act. [1]",,"By Late Latin, the scattering became verbal — words running between people. Discourse became an exchange.",,,
2.3,Defining: Discourse,3,"The crucial turn came in Medieval Latin, within the scholastic philosophy of the sixth through thirteenth centuries. Discursus became the term for the distinctly human mode of reasoning: the mind moving step by step from one known thing to another, from premises to conclusions. [1]",,"The scholastics claimed the word for reason itself: the mind's step-by-step movement from premise to conclusion. Reasoning became a kind of running.",,,Scholastic philosophy — the dominant intellectual tradition of medieval European universities. Key figures: Boethius (6th c.) through Thomas Aquinas (13th c.).
2.4,Defining: Discourse,4,"Thomas Aquinas drew an explicit contrast between discursive reasoning — human, sequential, effortful — and intuitive understanding, which he attributed to the divine as immediate and whole. For Aquinas, human knowledge ""forms a sure judgment about a truth by the discursive process of his reason."" [2] The word carried a sense of intellectual labor: the mind running between ideas to connect them.",,"Aquinas made the distinction sharp: God understands whole; humans must chase truth step by laborious step. The mind running between ideas to connect them is not a deficiency — it is the distinctly human way of knowing.",,,Thomas Aquinas (1225–1274) — Dominican friar and philosopher. The Summa Theologiae is his systematic treatment of theology and philosophy.
2.5,Defining: Discourse,5,"When the word entered Middle English around 1325, borrowed through the Middle French discours, its earliest recorded meaning was not ""conversation"" but ""process of understanding, reasoning, thought."" This is the sense Shakespeare draws on when Hamlet says ""a beast that wants discourse of reason"" [3] — an animal that lacks the capacity for reasoned thought, not one that lacks conversation. Only in the 1550s and 1580s did ""discourse"" shift to mean communication of thought in words and then formal treatment of a subject in speech or writing. [1]",,"When Hamlet calls a beast one that 'wants discourse of reason,' he means the capacity to think — not the capacity to talk. The word carried that weight for centuries before it softened into mere communication.",,,Shakespeare's Hamlet (c. 1600) — Act 1 Scene 2. Hamlet contrasts human rational capacity with animal instinct.
2.6,Defining: Discourse,6,"Today the word has diluted further. ""Discourse"" is applied to everything from academic treatises to social media arguments. The internet era has even produced ""the Discourse"" as a proper noun — meaning ongoing, heated, often unproductive public argument — which is essentially a degradation of the term into something closer to its opposite.",,"'The Discourse' — capital-D, perpetual, unproductive — is the word's final degradation. What once named the highest human faculty now names its opposite: noise without reason.",,,
2.7,Defining: Discourse,7,"By discourse I mean something that recovers the word's deeper history: the running about of ideas within conversation, specifically in search of truth, understanding, and consensus. This meaning holds together both the Late Latin sense of exchange between people and the Medieval Latin sense of reason moving between ideas. Discourse is not mere talk. It is the effortful, sequential, back-and-forth labor of human reasoning conducted between minds.",,"Discourse is the running about of ideas between minds in pursuit of truth. Not talk. Not performance. The effortful, sequential labor of reasoning conducted together.",,,
2.F1,Defining: Discourse,F1,"Harper, Douglas. ""discourse (n.)."" Online Etymology Dictionary. https://www.etymonline.com/word/discourse",,,,,Citation-only footnote.
2.F2,Defining: Discourse,F2,"Thomas Aquinas, Summa Theologiae, Secunda Secundae, Q. 9, Art. 1, Reply to Objection 1.",,,,,Citation-only footnote.
2.F3,Defining: Discourse,F3,"William Shakespeare, Hamlet, Act 1, Scene 2, line 150.",,,,,Citation-only footnote.
3.1,Defining: Civil,1,"Civil comes from the Latin civilis, ""relating to a citizen, pertaining to public life, befitting a citizen."" Even in Latin, the word extended by association to ""popular, affable, courteous"" — as though the Romans assumed that civic participation and agreeable conduct naturally went together. The root is civis, ""citizen,"" connected to civitas — not merely a political unit but the community of citizens that constitutes a city-state. The deeper Proto-Indo-European root *kei- carries the sense of lying down, settling, making a home — with a secondary meaning of ""beloved, dear."" Civitas was a community of people who had settled together and chosen to share a common life. [4]",,"The root of civil is civis — citizen. Its ancestor means to settle, to make a home, even to hold dear. Before civil meant polite, it meant belonging to a community that chose to share a life.",,,
3.2,Defining: Civil,2,"The word entered English in the late fourteenth century through Old French, initially meaning ""relating to civil law or life; pertaining to the internal affairs of a state."" [4] By the 1550s it had acquired the sense ""not barbarous, civilized."" The purely social meaning — civil as mere politeness, the avoidance of rudeness — developed later still and gradually became dominant. Merriam-Webster's usage note captures the degradation: ""civil often suggests little more than the avoidance of overt rudeness."" [5] That is a long fall from conduct befitting a citizen.",,"Civil once meant conduct befitting a citizen who governs in common. Merriam-Webster now offers 'little more than the avoidance of overt rudeness.' That is a long fall.",,,
3.3,Defining: Civil,3,"Civility, in its original force, is the disposition required to sustain shared life — not a social nicety but the conduct worthy of citizens who have chosen to settle together and govern in common.",,"Civility is the disposition required to sustain shared life — not a nicety, but the conduct worthy of people who have chosen to govern together.",,,
3.F1,Defining: Civil,F1,"Harper, Douglas. ""civil (adj.)."" Online Etymology Dictionary. https://www.etymonline.com/word/civil",,,,,Citation-only footnote.
3.F2,Defining: Civil,F2,"""civil."" Merriam-Webster.com Dictionary. https://www.merriam-webster.com/dictionary/civil",,,,,Citation-only footnote.
4.1,Civil Discourse,1,"Civil discourse, then, is not polite conversation. It is the exchange of ideas as citizens — the activity that free people engage in to govern shared life together. It is discussion intended to enhance understanding and, where possible, to persuade. Its topics can span from how everything in the cosmos relates to each other to how to properly use a single term.",,"Civil discourse is not polite conversation. It is free people reasoning together to govern shared life — discussion aimed at understanding and, where possible, persuasion.",,,
4.2,Civil Discourse,2,"While many institutions claim to foster civil discourse, few seem to actually deliver it. Successful examination of deep topics is likely to be long-lasting, multi-dimensional, and may require multi-medium discussion. Significant progress can be made quickly through in-person exchange, but writing allows evidence to be linked and arguments to be restated, clarified, and amended outside the heat of the moment. When institutions skip the difficult, painstaking work of establishing shared meaning and instead offer performance — what I've elsewhere called Sneaky Candy — it may look like discourse, but it fails to deliver the substance that makes discourse worthwhile.",,"Institutions love to claim civil discourse while skipping its hardest requirement: the slow, painstaking work of building shared meaning. Performance that looks like discourse but skips the substance is not discourse at all.",,,
5.1,Civility,1,"""I have endured what no living mortal on this earth has borne — I've lifted up to my own lips and kissed the hands of the man who killed my son."" — Priam, The Trojan King, to Achilles. Iliad XXIV (trans. Ian Johnston)",,"A king kisses the hands that killed his son — and through that act achieves what ten years of war could not.",,,Homer's Iliad Book XXIV — Priam journeys alone into the Greek camp to ransom the body of his son Hector from Achilles. Translation by Ian Johnston.
5.2,Civility,2,"Priam does not suppress his anguish. He carries it into the tent of his enemy and, through it, achieves what force could not. This moment amid the Trojan War is evidence that even amid grief and rage, we can reach toward something higher — not by numbing our intensity but by directing it toward understanding.",,"Priam carried his anguish into his enemy's tent and, through it, reached what force never could. Not by numbing his intensity, but by directing it.",,,
5.3,Civility,3,"Civility in this context means that positions are argued genuinely, that benefit of the doubt is given toward the intentions of other parties, and that participants hold a willingness to change their own beliefs while trying to change the beliefs of others. This exchange can be hot, intense, and emotional. Being overly sensitive to that heat does just as much harm to civility as being aggressive. Priam wept before Achilles; Achilles wept with him. The exchange was no less civil for its intensity.",,"Civility is not the suppression of heat. It is the willingness to argue genuinely, to extend doubt's benefit, and to hold your own beliefs open while pressing another's. Priam wept. Achilles wept with him. The exchange was no less civil for its intensity.",,,
5.4,Civility,4,"Civility is the spirit that guides us upward — away from what is animal within us and closer to what is truly human. We named our own species Homo sapiens — the wise ones. Our capacity for understanding, for reasoning beyond instinct toward wisdom, is our defining trait. Civility is what allows that capacity to function between people, turning rage and pain into respect and understanding, even toward our enemies in times of conflict and tragedy.",,"We named ourselves the wise ones. Civility is what makes that name true between people — the force that turns rage into respect and pain into understanding, even toward our enemies.",,,Homo sapiens — Latin: ""wise man."" Carl Linnaeus coined the binomial name in 1758.
6.1,Three Dimensions,1,"Discourse moves along three interrelated dimensions: Deliberation, Dialogue, and Debate. Each is rooted in the classical trivium — Grammar, Logic, and Rhetoric — and each is tied more closely to one of those foundations than the others.",,"Discourse moves along three dimensions — Deliberation, Dialogue, Debate — each rooted in one art of the trivium: Grammar, Logic, Rhetoric.",,,The trivium (Latin: ""three ways"") — Grammar, Logic (Dialectic), and Rhetoric — formed the foundational curriculum of medieval liberal arts education.
6.2,Three Dimensions,2,"A productive discourse will generally transition fluidly or ""run about"" these dimensions. Complex topics demand the iterative clarification of deliberation, the connective understanding of dialogue, and the adjudication of competing claims in debate. The structure I offer here is not a rigid sequence but a way of recognizing how discourse flows and where it might break down.",,"A living discourse runs freely among all three. The structure is not a sequence but a map — of where the conversation is and where it might break down.",,,
7.1,The Classical Trivium,1,"Before exploring the three dimensions, it helps to clarify the three arts that undergird them.",,Three classical arts undergird the three dimensions.,,,
7.2,The Classical Trivium,2,"Grammar, in this context, does not mean the basic structures and symbols of language. It means clarity of message and intent — the domain of semantics and pragmatics rather than phonetics or syntax. Two skills matter especially: the ability to attach precise meaning to words (semantics) and the ability to understand what another participant actually means (pragmatic competence).",,"Grammar here means clarity — the ability to say precisely what you mean and to grasp what others actually mean. Semantics and pragmatic competence, not syntax.",,,
7.3,The Classical Trivium,3,"Logic is the process of understanding the relationships among facts and ideas — the means of reasoning, classification, inference, and emergence. It is how we determine what is true, or how confident we can be that something is true.",,"Logic is how we determine what is true, or how confident we can be. The process of understanding how facts and ideas relate.",,,
7.4,The Classical Trivium,4,"Rhetoric is efficiency in grammar and logic for the purpose of articulating ideas clearly — a largely Quintilian understanding of the term. I do not mean the assessment of any effective means of persuasion, as not all means of persuasion are civil. Persuasion through pathos alone is actively unreasonable. The efficiency of rhetoric is predicated on the consensus and understanding established through grammar and logic.",,"Rhetoric is efficiency in service of clarity — not every effective means of persuasion, since not all persuasion is civil. Emotion alone is unreasonable. Rhetoric earns its power from the consensus that grammar and logic have already built.",,,Quintilian (c. 35–100 CE) — Roman rhetorician. His Institutio Oratoria defines rhetoric as the art of the good man speaking well — emphasis on moral character and clear articulation over mere persuasive technique.
8.1,Deliberation,1,Grammar guided by Logic.,,Grammar guided by Logic.,,,
8.2,Deliberation,2,"Deliberation is concerned with the establishment of facts and definitions. It is often slow and painstaking, subject to digressions, yet indispensable for grounding any subsequent exchange.",,"Deliberation establishes facts and definitions. Slow, subject to digression, and indispensable — without it, nothing that follows has ground to stand on.",,,
8.3,Deliberation,3,"This dimension strives to build a foundation of definitions, facts, evidence, and the strength of confidence in evidence toward a claim. Even between two good-faith participants, a shaky foundation can prevent meaningful resolution.",,"Even between people of good faith, a shaky foundation prevents resolution. Deliberation builds the ground.",,,
8.4,Deliberation,4,Clarifying the bounds of disagreement as one on facts can be just as important as any other resolution.,,"Sometimes the most valuable outcome is not agreement but clarity about where, precisely, the facts diverge.",,,
8.5,Deliberation,5,"Today, semantics is often dismissed as trivial, or when conflict arises in its domain, it is treated as an obstacle too annoying to overcome. This dismissal is one of our culture's most significant failures in creating civil discourse.",,"Dismissing semantics as trivial is one of our culture's most damaging failures. When the foundation of meaning is treated as an annoyance, discourse has nowhere to stand.",,,
8.6,Deliberation,6,"Taking the time to properly define terms can be tedious but it is a common and serious pitfall which we can see in lots of conversations pretending to be debate [the Munk Debate on Political Correctness and the IQ2 debate on Safe Spaces]. So often we see people attaching even slightly different concepts to a term, which can entirely ruin any conversation by having participants talk past each other — causing frustration, confusion, and anger that eventually kills the civility and the desire to continue.",,"People attaching slightly different meanings to the same word can ruin an entire exchange. They talk past each other, frustration compounds, civility dies, and the will to continue vanishes.",,,Munk Debate on Political Correctness (2018) — Stephen Fry and Jordan Peterson vs. Michael Eric Dyson and Michelle Goldberg. IQ2 debate on Safe Spaces — Intelligence Squared US series.
8.7,Deliberation,7,"On the other side sits pragmatic competence — the ability to understand another participant's intended meaning. Semantics is nuanced and time-consuming, and it is often worth debating. But progress can frequently be made through a temporary agreement to attach a term to a concept and move forward, trusting that participants are operating in good faith about what they mean.",,"Pragmatic competence — understanding what someone actually means — can bypass the tedium of perfect definitions. A temporary agreement on terms, held in good faith, lets discourse move.",,,
8.8,Deliberation,8,"Civility in deliberation: When facts require significant expertise, or when terminology is still under debate but isn't the core issue, tentatively granting premises for the sake of progress is generally civil. The clarity and impact of an idea can sometimes be easier to grasp in dialogue, so the dimensions often work together even here.",,"Civility in deliberation means granting premises tentatively for the sake of progress. Sometimes an idea's weight only becomes clear in dialogue.",,,
8.9,Deliberation,9,"Tools: — Hopping into dialogue: understanding the relationship of facts is often needed to reach consensus on those facts themselves, even before a full dialogic exchange. — Citing sources to ground contested claims.",,"Two tools: entering dialogue briefly to understand how facts relate before settling what those facts are, and citing sources to anchor contested claims.",,,
8.10,Deliberation,10,"Pitfalls: — Failing to define important terms. — Discourse collapsing into a lecture when one side has significantly more knowledge of the topic. — Inability to create consensus resulting in a loop: ""no, it isn't"" / ""yes, it is."" When this happens, hop into dialogue: why isn't it? Why is it?",,"Three traps: undefined terms, discourse collapsing into lecture when knowledge is lopsided, and the deadlock loop. When 'no it isn't / yes it is' appears — hop into dialogue. Ask why.",,,
9.1,Dialogue,1,"Logic guided by Grammar — much of which is tentative or exploratory, as it tries to articulate the relationship of things.",,"Logic guided by Grammar — tentative, exploratory, reaching for the shape of how things connect.",,,
9.2,Dialogue,2,"Dialogue cultivates understanding. It connects and synthesizes facts and ideas — both what others are saying and how facts relate to one another — seeking clarity and coherence. It uses various logical tools to explore how the facts and definitions established within deliberation tie into the core propositions of the discourse itself.",,"Dialogue connects. It synthesizes facts and ideas, seeking coherence — exploring how what deliberation established supports the core propositions at stake.",,,
9.3,Dialogue,3,"Often this looks like participants taking turns thinking through these relationships, checking for agreement or surfacing disagreements. Dialogue will frequently loop back into deliberation as new terms and claims emerge. At this stage, discourse remains primarily concerned with establishing truths and confidence levels. It is especially important during dialogue that the listener focus on denotation, giving almost no regard to connotation.",,"Dialogue is participants thinking through relationships together, surfacing agreement and disagreement in turn. Here, focus on denotation — what is being said, not how it sounds.",,,
9.4,Dialogue,4,"One of the distinctions to be drawn between a lecture and discourse is how participants in dialogue are often expected to hold two different understandings or come from two different areas of knowledge, each trying to see what can be gained from the other. Gray or fuzzy areas of knowledge and logic shrink over time as we gather new or better data and improve our methodology.",,"What separates dialogue from lecture is the expectation that both sides hold different knowledge, each trying to gain from the other. The gray areas shrink as understanding grows.",,,
9.5,Dialogue,5,"Resolutions in dialogue: — Resolution of ignorance: Both parties recognize that not enough is known about the facts or their relationships to move toward weighing values and actions. — Resolution of a new path: Both parties realize that their prior beliefs don't align with what is discovered through dialogue, and both adopt a new position.",,"Two resolutions: ignorance — both sides recognize not enough is known to proceed — and a new path, where both discover their prior beliefs no longer fit what dialogue has revealed.",,,
9.6,Dialogue,6,"Civility in dialogue: Recognition of authority is important in discourse on deep topics. Experts may hold different understandings of facts and their relationships. Giving experts the benefit of the doubt until there is reason not to is part of civility — though this does not mean their claims should go unexplained, unchallenged, or unchecked.",,"Recognizing authority is part of civility. Experts deserve the benefit of the doubt — but never immunity from challenge.",,,
9.7,Dialogue,7,"It is also recognition that dialogue often runs into the boundary where what we know meets what we do not, and how we gain confidence in our understanding of how to move forward despite unknowns.",,"Dialogue often reaches the frontier where knowledge meets ignorance. Navigating that boundary — gaining confidence despite what remains unknown — is much of what dialogue is for.",,,
9.8,Dialogue,8,"Aristotle distinguished between episteme — systematic knowledge that can be demonstrated — and techne, the knowledge of how to make or do, which involves judgment in the face of particulars that cannot be fully systematized. There are true technicians of every field, those who have studied a domain so deeply that their understanding allows them to develop strong intuition into the unknown.",,"Aristotle distinguished episteme — demonstrable knowledge — from techne, the craft of judgment where particulars resist systematization. True technicians develop intuition that reaches into the unknown.",,,"Aristotle's Nicomachean Ethics Book VI — distinguishes five intellectual virtues: episteme (scientific knowledge), techne (craft/art), phronesis (practical wisdom), nous (intuition), and sophia (theoretical wisdom)."
9.9,Dialogue,9,"Consider Barbara McClintock, who identified genetic transposition in maize in the 1940s. Her conclusions ran ahead of what the available methods could formally demonstrate, and the scientific establishment dismissed her work for decades. Molecular biology eventually vindicated her with a Nobel Prize in 1983 — but for forty years, her intuition was better than the field's formal knowledge. Or Alfred Wegener, who proposed continental drift in 1912 based on geological and paleontological pattern recognition. Geologists rejected it for fifty years because he could not provide a mechanism. Plate tectonics proved him right in the 1960s.",,"McClintock saw genetic transposition decades before biology could prove it. Wegener proposed continental drift fifty years before plate tectonics confirmed it. Their intuition outran their era's formal knowledge.",,,Barbara McClintock (1902–1992) — Nobel Prize in Physiology or Medicine 1983 for discovering genetic transposition. Alfred Wegener (1880–1930) — German meteorologist who proposed continental drift in The Origin of Continents and Oceans (1912).
9.10,Dialogue,10,"Recall the distinction Aquinas drew [2]: discursive reasoning is the step-by-step labor of moving from premise to conclusion, while intuitive understanding grasps truth immediately and whole. Discourse is the tool for most of us, most of the time. But those who have spent years within a domain can develop a kind of sight — similar to perceiving illusory contours connecting things — where their intuition runs ahead of what can yet be formally proven.",,"Most of us reason step by step. But those who have lived within a domain can develop a kind of sight — perceiving connections before proof exists, like the eye perceiving contours between scattered points.",,,Illusory contours — a perceptual phenomenon where the brain perceives edges and shapes that are not physically present (e.g. Kanizsa triangle). Used here as an analogy for expert intuition perceiving connections before formal proof.
9.11,Dialogue,11,"Yet a credential does not make an expert, and few experts develop the depth of intuition that makes them truly reliable technicians of the unknown. Even still we must rely on these technicians, else the speed of progress comes to a crawl. They are always at the edge, pushing understanding forward with a more accurate sense of what lies ahead than others possess. There is a great deal of unknown and gray in any field, and recognizing this is part of intellectual honesty.",,"A credential does not make an expert, and few experts develop truly reliable intuition. Yet we must rely on them — they see further. Recognizing how much remains unseen is part of intellectual honesty.",,,
9.12,Dialogue,12,"Tools: — Restating the other participant's premises to confirm understanding. — Assuming a statement is subtle until shown otherwise. — Assuming a counterintuitive claim is intentional until shown otherwise. — Reasonable benefit of the doubt in authority. — Analogy and metaphor. — Engaging with the understanding that you may be wrong — and that a mistake by your opponent is not your victory.",,"Restate premises. Assume subtlety. Assume intentionality. Grant reasonable authority. Use analogy. And remember: a mistake by your opponent is not your victory.",,,
9.13,Dialogue,13,"Pitfalls: — Logical fallacies — mistakes in understanding relationships between facts or ideas. — One side pushing for a resolution of ignorance as a way of dismissing authority or references they distrust, whether that distrust is valid or not.",,"Two traps: logical fallacies that corrupt the relationship between ideas, and weaponizing ignorance — dismissing what you distrust by insisting nothing can be known.",,,
10.1,Debate,1,Logic guided by Rhetoric — efficient articulation of ideas becomes important in reaching a clear resolution.,,Logic guided by Rhetoric — where efficient articulation becomes essential to resolution.,,,
10.2,Debate,2,"Debate aims at forging consensus toward paths in navigating the unknown to form truer beliefs. It is where we weigh competing claims against values, risks, and costs, refining what we believe through rational prioritization. Done well, debate brings collective understanding closer to truth and enables us to justify beliefs as knowledge.",,"Debate weighs competing claims against values, risks, and costs. Done well, it forges consensus and brings collective understanding closer to truth.",,,
10.3,Debate,3,"By this stage, language should have been refined and made efficient through the prior dimensions, allowing for eloquent articulation — by which I mean language that efficiently carries the denotation of ideas with as little misinterpretation as possible. I do not mean poetic. I do not mean rhythmic preaching.",,"By this stage, language should carry ideas with minimal misinterpretation. Eloquence here means efficiency. Not poetry. Not preaching.",,,
10.4,Debate,4,"Resolutions in debate: — Resolution of boundaries: When persuasion is not achievable, we strive to better understand the bounds of disagreement and what changes in circumstances or knowledge could create agreement. — Resolution of persuasion: Agreement is reached. — Resolution of conditional persuasion: Persuasion predicated on statements from authority or on claims we have some confidence in but are not yet certain of. Someone can be convinced that something is more likely without being convinced it is likely. — Resolution of incommensurability: The participants discover they cannot agree on foundational facts or definitions sufficient to proceed. The discourse ends not in agreement or persuasion but in a clear articulation of where and why agreement is impossible. This is distinct from a resolution of boundaries — it is the recognition that the ground itself cannot be shared, and that no amount of further discourse will change that without new evidence or experience outside the conversation.",,"Four resolutions: boundaries — mapping where disagreement lies; persuasion — agreement reached; conditional persuasion — likely but not certain; and incommensurability — the recognition that the ground itself cannot be shared.",,,
10.5,Debate,5,"Civility in debate: Changing our beliefs is difficult and can lead to intense feelings. Intensity that surfaces as anger or frustration — even when the exchange is otherwise civil — is often directed at the self, at past teachers, or at the surprise of encountering genuinely new information. When discourse flows back into dialogue or deliberation, that lingering intensity can be harmful. Taking a beat to allow participants to collect themselves is often necessary for moving forward.",,"Changing beliefs hurts. The intensity that surfaces in debate is often aimed inward — at yourself, at past teachers, at the shock of the genuinely new. When discourse shifts dimensions, that heat needs a beat to settle.",,,
10.6,Debate,6,"Tools: — Steel-manning: assume the opponent is making the best version of their argument until you know they aren't. The progress of ideas deserves better than preying on poor mistakes in rhetoric. — A break for reflection and analysis, especially when transitioning between dialogue and debate. — Providing reference or summary of the deliberation and dialogue for any audience whose pragmatic competence may suffer from those exchanges being ""off screen"" or tediously long.",,"Steel-man your opponent — ideas deserve better than attacks on poor rhetoric. Take breaks between dimensions. Summarize prior exchanges for anyone who wasn't there.",,,
10.7,Debate,7,"Pitfalls: — Attempts at persuasion through pathos. — Relying on ethos when logos can be reached. — Straw-manning — the fallacy most likely to arise in debate, as increasingly efficient language allows for easier misinterpretation. — Refinement of language will come with some cost in clarity for people who did not participate in or observe the earlier dimensions.",,"Four traps: persuasion through emotion alone, leaning on credibility when reason is available, straw-manning — ever easier as language compresses — and the inherent cost: refined language demands context that latecomers lack.",,,Pathos/ethos/logos — Aristotle's three modes of persuasion from Rhetoric. Pathos (emotion) and ethos (character/credibility) are positioned here as inferior to logos (reason) for civil discourse.
