"Index","","Original","D: Rework","","Notes","","","FUALL Draw.io breakdown","","","","","Chapter","Thought","Content Type","title","author","content","Notes"
"","","<b>Foundational Understanding</b>","","<b>Foundational Understanding</b>","","","","","","","","","","","","","","",""
"","","The foundations of civilization are eroding...again

Our current way of doing things, our institutions, that guide our norms and values have lost their way. 

We are failing because of something even more foundational: The transmission of ideas and our tool for doing it, language.

We need to rediscover ourselves...again...

Much of what I have to say isn't new - some of it, I think, will be - but much of it might be new to you. 

I'm striving to rebuild Foundational Understanding
If we ask why enough times we get to Fundamental Questions, like:
• Why is there something rather than nothing?[1]
• What is reality and how does it work?[2]
• Why are we here?[3]

Unfortunately, we don't have answers to these questions. We are ignorant, but awareness of that puts us in pretty good company...

That awareness lets us start figuring out how to be less ignorant. That we have the capacity to bring the confidence in our belief close to what is true. We have the capacity to <b>Reason</b>.","The Foundations of our civilization are eroding. Again.

This has happened before, but it does not have to happen forever.

We've known what causes it, and how to fix it, for nearly all of recorded history.
","The foundations of our civilization are eroding. Again.

This has happened before, but it does not have to happen forever. 

We can fix it, and we've known how for...well...nearly all of history. 

You're probably familiar with the game telephone, where you say a word or phrase and pass it around in a circle till it gets back to the originator and they see how much it has been mutated or corrupted. Now imagine trying to maintain everything that is important across generations. How would one do that? 

We are eroding because you, dear reader, most likely have not heard of Plato's Paideia (παιδεία), which he tried to bring to life at his Academy.  Note: The etymology of the world is as much an accident of history as how we understand Politics in Left vs Right. 

You might know some other terms for similar ideas (the academy/academia, education, the liberal arts, the humanities, or simply memes - the last of which is almost a perfect example of what I'll discuss next). These are the we have terms we use for how we attempt to do our best at the transmission of ideas and our tool for doing it, language.

Trying to maintain continuity across generation is hard, Paideia was the idea of how to achieve it. However, terms are imperfect means of transmitting concepts. They are vulnerable to misunderstanding, mishearing, misinterpreting, and active corruption. 

Dawkins meme wasn't exactly novel, but it was a another good way to describe how ideas transmit, and like genes it is a recognition of that imperfection of transmission. That the term itself go so quickly mutated is a unfortunate and almost perfect irony. 

The reason you may be unfamiliar with the term Paedeia is due to our institutions failing. The Academy died in the Universities, not because they lack power but because they've lost their purpose, because they've betrayed you and society, again. 

And because this has happened before we have another ancient term for what they have become, σοφιστής (sophistēs) or sophists. Deceivers who pretend to sell wisdom and mostly sell something else. Our Universities today are overrun with them, and the same concern that Socrates had is there today, claiming you you are wise and locking that wisdom behind pay walls. JSTOR, Journals Aaron Schwartz, the massive cost of tuition and its rise relative to inflation, especially in digital age - a time of post-scarcity knowledge. The universities are the contemporary sophists. They are the enemy Socrates fought and Plato warned us of. 

And the sophists have enabled our erosion our decay, our rot. Not only have they killed important terms like the Academy they have let our language around power become incoherent, they have let them and to some degree encouraged them to become hollowed out and used as tribal markers. 

Our discourse has collapsed into emotional activation. And the people who should be diagnosing this, the  supposedly educated, the credentialed, the ""expert class"" are instead sophsits the cause part of the problem, the rot, trading on the symbols of wisdom without practicing it.

I'm striving to be a small voince in correcting this, and it starts as do most things, with building a Foundation. In this cause a Foundation of Understanding. ","Examples of the pattern — expandable list]
This pattern recurs across civilizations, cultures, and millennia:
- Athens built Plato's Academy and lost it to doctrine.
- The Islamic Golden Age built the House of Wisdom and lost it when revelation was declared superior to reason.
- China built a 1,300-year examination system and watched it decay into rote memorization.
- Rome's philosopher-king couldn't transmit wisdom to his own son.
- Nalanda concentrated a millennium of Buddhist scholarship in one institution and lost it all when that institution burned.
- Japan chose maximum conservation through 250 years of isolation and found itself defenseless when reality changed.
Each of these is explored in detail in  [links to supporting articles/resources]

Other people who propose cycles:
Ibn Khaldun (14th century) is arguably the OG. The Arab historian argued that civilizations rise and fall in roughly 3-4 generation cycles (~120 years). His concept of asabiyyah — group cohesion or social solidarity — is the key variable. A tough, hungry group with strong bonds conquers or builds a civilization. Success brings luxury and comfort, which erodes that cohesion over generations. The grandchildren of empire-builders become soft, entitled, and fragmented. A new group with stronger asabiyyah then displaces them. Dalio's framework borrows heavily from this logic whether he acknowledges it or not.
Oswald Spengler (The Decline of the West, 1918) argued civilizations are like organisms — they're born, mature, and die following an internal biological clock. He identified a ~1,000-year lifespan for major civilizations and claimed Western civilization had entered its terminal ""winter"" phase. Unlike Dalio, Spengler was a hard determinist — he thought decline was essentially inevitable and not fixable by policy.
Arnold Toynbee (A Study of History, 1934-61) studied 21 civilizations and argued they rise through a ""creative minority"" that successfully responds to challenges. They decline when that elite becomes a ""dominant minority"" — still in power but no longer creative or legitimate, ruling by force rather than inspiration. The masses withdraw their loyalty, and internal ""proletariats"" and external ""barbarians"" pull the civilization apart. More optimistic than Spengler — he thought civilizations could renew themselves through spiritual or moral transformation.
Peter Turchin (Ages of Discord, 2016) is probably the most rigorous modern version. His ""cliodynamics"" framework uses quantitative data to identify ~50-year cycles driven by elite overproduction (too many people competing for too few elite positions), declining real wages for workers, and state fiscal crisis. He predicted in 2010 that the US would hit a peak of political instability around 2020 — which turned out to be uncomfortably accurate. His mechanism is more specific than Dalio's: when you produce more elites than the system can absorb, the frustrated would-be elites radicalize and mobilize the discontented masses.
Strauss & Howe (The Fourth Turning, 1997) proposed an ~80-year generational cycle with four ""turnings"" — High, Awakening, Unraveling, Crisis. They predicted a major crisis period starting around 2005-2025. Their framework is more cultural/generational than economic, arguing that the character of each generation (shaped by which turning they grew up in) drives the next turning.
Sir John Glubb (The Fate of Empires, 1978) — a British military officer who studied 11 empires and found a remarkably consistent ~250-year lifespan, progressing through ages of Pioneers, Commerce, Affluence, Intellect, and Decadence. His markers of terminal decline: an obsession with celebrity culture, influx of foreigners, welfare state expansion, and a shift from duty to selfishness. Less rigorous than the others but widely cited.

Ray Dalio: 6 stage model","The thing that was supposed that guide our norms and values have lost their way. That thing is the Academy something that our Universities killed.

If you ask why enough times, all of this traces back to the same place.



Athens had it. The Renaissance recovered it. The Enlightenment built on it. Each time, the core insight was the same. And each time, it faded — not because it was wrong, but because precision is expensive and stories are cheap. Maintaining a deep understanding of why your civilization works requires constant effort. Letting it slide into sloganeering requires nothing at all.","","Examples of the pattern — see existing Notes column for the full civilizational cycles list (Ibn Khaldun, Spengler, Toynbee, Turchin, Strauss & Howe, Glubb, Dalio).

Column 4 contains an alternate draft of the telephone metaphor that was developed into Row 4's final version. Column 6 contains the ""Athens had it, Renaissance recovered it, Enlightenment built on it"" passage — this language was cut from the rework but the cadence is strong; consider recovering for another article.","","","","","","","","","","",""
"","","","You're probably familiar with the game telephone: a phrase is whispered person to person around a circle and often arrives back mutated beyond recognition.

Now imagine the phrase is everything your civilization figured out about how to think, what to believe, and how to live well. Now imagine the circle is measured in generations, and the original phrase is itself imperfect and in need of an update. Each generation must pass the phrase on without losing it, make it less wrong, and persuade the next generation that the change is an improvement rather than a corruption.

That is the core problem. 

The transmission of understanding across generations is extraordinarily difficult, and the collective improvement of that understanding harder still.","","","","","The telephone metaphor is imperfect in one important way: in the game, mutations are random. In civilizational transmission, mutations can be random (honest misunderstanding), motivated (power-seeking, simplification for convenience), or structural (each generation's shortcuts become the next generation's starting point).

Michael Tomasello, The Cultural Origins of Human Cognition (1999): cumulative culture requires each generation to faithfully transmit AND improve. Failure at either step breaks ""the ratchet."" This is the formal version of the telephone problem.

""The original phrase is itself imperfect and in need of an update"" — this is what makes the problem harder than mere preservation. Pure conservation would be difficult enough. But the phrase also needs to get better. Which means you need people capable of both receiving it accurately AND improving it — which requires the very wisdom the transmission is trying to produce. A bootstrapping problem.","","","","","","","","","","",""
"","","","Historically we have built grand temples, some taking hundreds of years to construct while lasting thousands, as symbols for how important these ideas are. Elaborate stories and rituals often accompany them as methods for passing that understanding on.","","Give list of old temples and build times from aorund the world. ","","","Grand temples and their construction timescales:
- Great Pyramid of Giza (c. 2560 BCE) — ~20 years to build, still standing after 4,500 years
- Parthenon, Athens (447–432 BCE) — 15 years
- Angkor Wat, Cambodia (early 12th century) — ~30 years
- Chartres Cathedral, France (1194–1220) — 26 years
- Notre-Dame de Paris (1163–1345) — 182 years
- Cologne Cathedral (1248–1880) — 632 years
- Sagrada Família, Barcelona (1882–ongoing) — 140+ years and counting
- Borobudur, Java (c. 750–842 CE) — ~75 years

These are investment signals. Civilizations don't spend generations building structures unless they consider the ideas those structures represent to be foundational. The temples themselves are transmission devices — their permanence is the message: ""this matters enough to outlast us.""

The stories and rituals that accompany them serve the same function. The Eleusinian Mysteries lasted ~2,000 years. The Catholic Mass has been performed continuously for ~1,700 years. Confucian rites persist after 2,500 years. The durability of ritual often exceeds the durability of understanding — which is the problem.","","","","","","","","","","",""
"","","","Yet, understanding still erodes, forgotten, mutated, or corrupted. Rituals and beliefs survive while the purposes behind them are forgotten. Symbols are defended long after the understanding that gave them meaning has been lost or mutated. Often the very institutions built to preserve understanding become vessels for its corruption.

This pattern is old, ancient even, so are both the diagnosis and the remedy.","Paideia is an unfamiliar term to most, an example of the transmission losing the signal.

A significant reason for this loss of signal is that the institution founded to maintain it, the Academy, has failed, and not for the first time.

Not because they lack resources or power, but because the people running it are repeating an all too familiar pattern of failure.

The ancient Greeks saw this failure mode in the Sophists, σοφισταί: teachers who sold lessons in wisdom, yet became a historic example of the gap between claiming wisdom and possessing it.
People who performed the appearance of wisdom without practicing it. Who sold credentials instead of cultivating understanding. Socrates spent his life fighting them. Plato built the Academy specifically as an alternative to them.

The pattern has returned. Our universities, the institutions that inherited the Academy's name and mission, have become the contemporary sophists. They trade on the symbols of wisdom while the substance decays.","","","","""Symbols defended long after understanding lost"" — this is the master pattern:
- Cargo cults: after WWII, Pacific Islanders built imitation airstrips hoping planes would return. Perfect preservation of form, zero access to function. Feynman used this as his metaphor for bad science (""Cargo Cult Science,"" 1974 Caltech commencement).
- Chesterton's Fence (The Thing, 1929): ""Don't ever take a fence down until you know the reason it was put up."" The conservative principle. But also: sometimes the reason is genuinely forgotten, and defending the fence becomes the obstacle.
- ""Often the very institutions built to preserve understanding become vessels for its corruption"" — the Catholic Church preserving Greek texts while suppressing their application. Universities preserving the word ""Academy"" while gutting its function. Political parties preserving the word ""liberal"" while practicing illiberalism.

Column 4 contains a draft connecting this directly to Paideia and the Sophists — material that was developed into Rows 7-8 in the final version.","","","","","","","","","","",""
"","","<b>Reason</b> is humanity's, so far unique, capacity to find truth. Utilizing it we developed methods to learn about <b>Reality</b>. Allowing us to start justifying our beliefs as <a href=""https://plato.stanford.edu/entries/epistemology/"">knowledge</a>/Scientia/science.

There is much work left to be done in expanding these categories of knowledge or <i>'the Sciences'</i> but we've made great strides toward understanding <b>Reality</b>, and in doing so improved our ability to <b>Reason</b>, as we can take notice if when our current tools for finding truth don't quite get us to reality so we then work to improve them.  Our best methods of acquiring knowledge we refer to as our scientific methods, and we've added various tools to these methods over time and will keep finding more to add.

This allowed us to start down the path of answering one of our fundamental questions. <i>What is existence and how does it work?</i>[2]

Acquiring this knowledge hasn't been easy, its taken us thousands of years to get here. Partly because society erodes, and finding the <b>Right</b> <u>Way</u> to produce a <u>Good Life</u> or <span class=""ref"">Just City</span> hasn't been easy either. ","<b>An Ancient Failure Mode</b>
The Classical Greeks encountered a version of the same failure we are experiencing now. Socrates became enduringly important because he exposed this decay and his legacy reversed it.

In his time Sophists, σοφιστής, claimed authority over cultivating the minds of the next generation. Performing the role of wise teacher without practicing wisdom themselves, and charging a tidy sum to do it. 

Socrates fought the Sophists for the mind of Athens, won, and died for it. His victory resonates through all that came after.

Socrates' student, Plato, taught at a grove near Athens. That grove was named after Akademos, an older Greek hero whose name survives largely because Plato happened to teach there. From that accident of history we get the term “the Academy"".

Akademos, the Academy, Academia became an institution. Its role was to follow in the footsteps of Socrates and those that came after in this millennia-long game of telephone. Yet the same thing that happened with the Sophists is happening with the Academy. People claiming the mantle of wisdom and charging a ridiculous rate for something they aren't actually providing.

Plato's student Aristotle spoke of hoi eleutheroi (οἱ ἐλεύθεροι), the skills and knowledge a person needs to be worthy of freedom, of self-governance. Latin turned this into the Liberal Arts and eventually the Humanities. 

The deeper meaning behind the Academy, the Liberal Arts and the Humanities is Paideia (παιδεία).","A significant reason for this loss of signal is that the institution founded to maintain it, the Academy, has failed, and not for the first time. This isn't new. The pattern is old enough that it should be familiar: a society builds something extraordinary on a set of ideas, those ideas get transmitted imperfectly across generations, the transmission degrades, and eventually people are defending symbols whose meaning they've forgotten. The rituals survive. The understanding doesn't.

Not because they lack resources or power, but because the people running it are repeating an all too familiar pattern of failure.

The ancient Greeks had a term for this failure mode, too. They called them σοφιστής, sophists.
People who performed the appearance of wisdom without practicing it. Who sold credentials instead of cultivating understanding. Socrates spent his life fighting them. Plato built the Academy specifically as an alternative to them.

The pattern has returned. Our universities, the institutions that inherited the Academy's name and mission, have become the contemporary sophists. They trade on the symbols of wisdom while the substance decays.

Asides about another accident of history being left and right?","The evidence is structural, not anecdotal: - Journals locked behind paywalls in a post-scarcity digital age. Aaron Swartz saw this clearly and paid for it. - Tuition costs rising at multiples of inflation for decades while the core Academy function — teaching people to think — has been gutted in favor of vocational training the university can't do well. - Textbook prices that are indefensible by any honest economic analysis. - The field that studies scarcity producing institutions that manufacture artificial scarcity. This is explored fully in [Education article link]

Include link to signaling theory of education","","","Sophists: Protagoras, Gorgias, Hippias, Prodicus were the major figures. Not uniformly bad — Protagoras's ""man is the measure of all things"" is a serious philosophical position. But the commercial model selected for persuasion skill over truth-seeking. The corruption wasn't in charging fees per se but in what the fees optimized for.

Socrates's trial: 399 BCE. Charges: impiety (asebeia) and corrupting the youth. Convicted by jury of 501 Athenian citizens. Vote was close — roughly 280 to 221. Refused to flee (see Crito). Drank hemlock. See Plato's Apology, Crito, Phaedo for the trial, the argument against escape, and the death scene respectively.

Akademos/Hekademos: mythological Attic hero. The grove (Akademia) was about a mile northwest of Athens. Plato began teaching there c. 387 BCE. The Academy continued in various forms for nearly 900 years until Justinian I closed it in 529 CE — itself an act of a Christian emperor suppressing pagan philosophy. The referent killed by institutional power.

Hoi eleutheroi (οἱ ἐλεύθεροι): Aristotle, Politics. The ""free arts"" — skills befitting a free person, as opposed to banausic (mechanical/servile) arts. The distinction was explicitly political: you need these capacities to participate in self-governance. A person without them is free in name only.

""Signaling theory of education"" — Bryan Caplan, The Case Against Education (2018): argues that much of modern education's value is signaling (proving you can sit through 4 years of compliance) rather than human capital formation (actually learning useful things). This is the quantitative version of the sophistry critique.

See existing Notes column for structural evidence: journals behind paywalls, Aaron Swartz, tuition inflation, textbook prices, artificial scarcity.

Column 2 (Original) contains an older version that led with Reason rather than the Socrates story — the structural pivot to leading with the historical narrative was a significant improvement.","","","","","","","","","","",""
"","","
Plato tried to built the first version of The Academy. Aristotle The Liberal Arts were an attempt to institutionalize it, the skills ""worthy of a free person,"" the capacities needed for self-governance. The entire tradition of what we now call the humanities was, at its root, an answer to the telephone problem: how do you transmit the signal without degrading it?

Plato tried to build it at the first Academy. The liberal arts were an attempt to institutionalize it, the skills ""worthy of a free person,"" the capacities needed for self-governance. The entire tradition of what we now call the humanities was, at its root, an answer to the telephone problem: how do you transmit the signal without degrading it?","<b>Paideia</b>
The deliberate cultivation and transmission of everything a civilization needs its citizens to understand, know, believe, and be capable of. Not just facts. Not just skills. The full formation of a person capable of participating in, sustaining, and improving a free and just society.

The transmission of understanding. 
 
It is what 'being educated' should mean, as this was always the higher purpose of education.

When that purpose is forgotten, education decays into something narrower: information without judgment, skill without orientation, credentials without substance.

When that happens, a civilization may continue to educate in some technical sense while failing to form the kinds of people it depends on.

That is where we are now.

Most people no longer know the term, and fewer understand it. That, too, is part of the problem.","
A significant reason for this loss of signal is that the institution founded to maintain it, the Academy, has failed, and not for the first time. This isn't new. The pattern is old enough that it should be familiar: a society builds something extraordinary on a set of ideas, those ideas get transmitted imperfectly across generations, the transmission degrades, and eventually people are defending symbols whose meaning they've forgotten. The rituals survive. The understanding doesn't.

Not because they lack resources or power, but because the people running it are repeating an all too familiar pattern of failure.

The ancient Greeks had a term for this failure mode, too. They called them σοφιστής, sophists.
People who performed the appearance of wisdom without practicing it. Who sold credentials instead of cultivating understanding. Socrates spent his life fighting them. Plato built the Academy specifically as an alternative to them.

The pattern has returned. Our universities, the institutions that inherited the Academy's name and mission, have become the contemporary sophists. They trade on the symbols of wisdom while the substance decays.","Academy:
Every ""academy"" in the world is named after the original Akademia of Athens — which was itself named after a sacred grove dedicated to the mythic hero Academus, or possibly derived from a word meaning ""far away suburb."" The connection between the word and its meaning is as much an accident of history as how we understand politics through Left vs Right — a topic addressed in [link].

Paideia:
Paideia is a term largely lost but it meaning lives in the term Academy, or it used to, and we are now losing the meaning of that and other related terms. Education, Liberal Arts, Humanities. Each a conceptual predecessor of Paideia, and today each eroded, mutated, corrupted to mean little of their substative concepts. 

 It is the Foundation of the West as Confucious is the foundation of much of the east. ","In response to the Sophists, Plato and Aristotle articulated the importance of Paideia, and proposed some ideas of what it might look like.

The deliberate cultivation and transmission of everything a civilization needs its citizens to understand, know, believe, and be capable of. Not just facts. Not just skills. The full formation of a person capable of participating in, sustaining, and improving a free and just society.

Plato tried to build it at the first Academy. The liberal arts were an attempt to institutionalize it, the skills ""worthy of a free person,"" the capacities needed for self-governance. The entire tradition of what we now call the humanities was, at its root, an answer to the telephone problem: how do you transmit the signal without degrading it?

Terms are imperfect vessels for concepts. They are vulnerable to misunderstanding, mishearing, misinterpreting, and active corruption.

Every time an idea passes from one mind to another, some of the concept can be lost. The more complex the idea, the greater the risk of loss in transmission. This is how the Liberal Arts went from ""the skills necessary to take active and effective part in civic life"" to ""a worthless degree.""

Over enough transmissions, the understanding is gone. The people who can repeat the words can no longer understand their original meaning.

This erosion is not inevitable.

The pattern recurs because we have never built a sufficiently reliable mechanism for transmitting concepts. We've built mass literacy programs, mass media systems, but never a mass wisdom program.

Not once in all of history.","","Werner Jaeger, Paideia: The Ideals of Greek Culture (1933–1945, 3 volumes) — the definitive modern treatment. Argues Paideia was the Greeks' central contribution to civilization, not democracy or philosophy in the narrow sense, but the concept of deliberate human formation.

Latin equivalent: humanitas (Cicero, Aulus Gellius). German: Bildung — cultural self-formation through education and experience. Each carries similar connotations; each has degraded in its own language.

""Credentials without substance"" — current stats: average US student debt ~$37,000 (2024). Tuition has risen ~1,200% since 1980, adjusted for inflation. Meanwhile employer surveys consistently show graduates lack critical thinking and communication skills — the very things the liberal arts were supposed to provide.

See existing Notes column for Academy etymology and Paideia/Confucius comparison.

Column 6 contains an extended draft connecting Paideia to Plato's Academy and the liberal arts tradition. Material was incorporated into the final Rework but the longer version has useful detail about Aristotle's specific curriculum.","","","","","","","","","","",""
"","","","Terms are imperfect vessels for concepts. They are vulnerable to misunderstanding, mishearing, misinterpreting, and active corruption.

Every time an idea passes from one mind to another, some of the concept can be lost. The more complex the idea, the greater the risk of loss in transmission. This is how the Liberal Arts went from being perceived as ""the skills necessary to take active and effective part in civic life"" to ""a worthless degree.""

Over enough transmissions, and without painstaking precision, the understanding disappears. The people who can repeat the words can no longer understand their original meaning.

This erosion is not inevitable.

The pattern recurs because we have never built a sufficiently reliable mechanism for transmitting concepts. We've built mass literacy programs, mass media systems, post-scarcity information, but never a mass wisdom program.

Not once in all of history, but now we have built many of the building blocks to achieve it. ","","Dawkins' concept of the ""meme"" was, is another, a recognition of this same problem: ideas replicate imperfectly, just as genes do. The concept was not novel — Paideia, memetic corruption, lossy transmission are all descriptions of the same phenomenon across different eras. 

The irony that ""meme"" itself mutated almost immediately from a serious concept into an internet joke is  both unfortunate and almost too perfect an illustration of the mechanism it describes.","","","Linguistic/philosophical background for ""terms as vessels"":
- Saussure's distinction between signifier (the word) and signified (the concept). The relationship is arbitrary and conventional — which is why it can drift.
- Wittgenstein's language games — meaning is use, and use changes across communities and time.
- Korzybski: ""the map is not the territory"" (Science and Sanity, 1933). Words are maps of concepts, not the concepts themselves.
- The Sapir-Whorf hypothesis (weak form): language shapes thought. If the terms degrade, the thinking degrades with them.

""Liberal Arts to worthless degree"" — the original seven: grammar, logic, rhetoric (trivium) + arithmetic, geometry, music, astronomy (quadrivium). Codified by Martianus Capella (5th century) and Cassiodorus (6th century). These were the prerequisites for all further study — you learned these first because without them you couldn't learn anything else properly. Now they're electives at best.

""Never built a mass wisdom program"" — mass literacy is recent (global literacy rate was ~12% in 1820, ~86% in 2015). Mass media is ~100 years old. Post-scarcity information is ~25 years old. The building blocks for mass wisdom transmission exist for the first time in history. We have the infrastructure; we lack the content and the institution.

See existing Notes column for Dawkins meme irony.","","","","","","","","","","",""
